"","Cebu Doctors University Hospital,Cebu City,Cebu","Chong Hua Hospital,Cebu City,Cebu","Perpetual Succour Hospital,Cebu City,Cebu","Asian Hospital and Medical Center,Muntinlupa,Metro Manila","Cardinal Santos Medical Center,San Juan,Metro Manila","Centuria Medical Makati - Asian Breast Center,Makati,Metro Manila","Chinese General Hospital and Medical Center,Manila,Metro Manila","Jose R. Reyes Memorial Medical Center,Manila,Metro Manila","Lung Center of the Philippines,Quezon City,Metro Manila","Makati Medical Center,Makati,Metro Manila","Manila Doctors Hospital,Manila,Metro Manila","Manila Med,Manila,Metro Manila","Metropolitan Medical Center,Manila,Metro Manila","Philippine General Hospital,Manila,Metro Manila","Philippine Oncology Center Corporation - Marian,Quezon City,Metro Manila","Quirino Memorial Medical Center,Quezon City,Metro Manila","Rizal Medical Center,Pasig,Metro Manila","San Juan De Dios Hospital,Pasay,Metro Manila","St. Luke's Medical Center - Global City,Taguig,Metro Manila","St. Luke's Medical Center - Quezon City,Quezon City,Metro Manila","The Medical City,Pasig,Metro Manila","University of Perpetual Help Delta,Las Pinas,Metro Manila","University of Santo Tomas,Manila,Metro Manila","Urology Center of the Philippines Inc.,Quezon City,Metro Manila"
"Guiuan,Eastern Samar",36162.0,36165.0,36441.0,78998.0,80934.0,80514.0,81065.0,81118.0,81423.0,80113.0,80980.0,80473.0,81263.0,80590.0,82509.0,81367.0,80484.0,80319.0,80412.0,81274.0,80821.0,80665.0,80950.0,81453.0
"Hernani,Eastern Samar",35163.0,35166.0,35442.0,75541.0,77477.0,77057.0,77608.0,77661.0,77966.0,76656.0,77523.0,77016.0,77806.0,77133.0,79052.0,77910.0,77027.0,76862.0,76955.0,77817.0,77364.0,77208.0,77493.0,77996.0
"Hilongos,Leyte",25182.0,25185.0,25461.0,81348.0,83284.0,82864.0,83415.0,83468.0,83773.0,82463.0,83330.0,82823.0,83613.0,82940.0,84859.0,83717.0,82834.0,82669.0,82762.0,83624.0,83171.0,83015.0,83300.0,83803.0
"Hinabangan,Samar",35402.0,35405.0,35681.0,66079.0,68015.0,67593.0,68144.0,68197.0,68504.0,67192.0,68061.0,67552.0,68344.0,67671.0,69588.0,68446.0,67563.0,67398.0,67493.0,68355.0,67900.0,67744.0,68029.0,68532.0
"Hindang,Leyte",24761.0,24764.0,25040.0,80929.0,82865.0,82445.0,82996.0,83049.0,83354.0,82044.0,82911.0,82404.0,83194.0,82521.0,84440.0,83298.0,82415.0,82250.0,82343.0,83205.0,82752.0,82596.0,82881.0,83384.0
"Hinunangan,Southern Leyte",30484.0,30487.0,30763.0,80671.0,82607.0,82187.0,82738.0,82791.0,83096.0,81786.0,82653.0,82146.0,82936.0,82263.0,84182.0,83040.0,82157.0,81992.0,82085.0,82947.0,82494.0,82338.0,82623.0,83126.0
"Hinundayan,Southern Leyte",30195.0,30198.0,30474.0,80382.0,82318.0,81898.0,82449.0,82502.0,82807.0,81497.0,82364.0,81857.0,82647.0,81974.0,83893.0,82751.0,81868.0,81703.0,81796.0,82658.0,82205.0,82049.0,82334.0,82837.0
"Inopacan,Leyte",23912.0,23915.0,24191.0,80080.0,82016.0,81596.0,82147.0,82200.0,82505.0,81195.0,82062.0,81555.0,82345.0,81672.0,83591.0,82449.0,81566.0,81401.0,81494.0,82356.0,81903.0,81747.0,82032.0,82535.0
"Isabel,Leyte",22063.0,22066.0,22342.0,81114.0,83050.0,82630.0,83181.0,83234.0,83539.0,82229.0,83096.0,82589.0,83379.0,82706.0,84625.0,83483.0,82600.0,82435.0,82528.0,83390.0,82937.0,82781.0,83066.0,83569.0
"Jaro,Leyte",23853.0,23856.0,24132.0,73714.0,75650.0,75230.0,75781.0,75834.0,76139.0,74829.0,75696.0,75189.0,75979.0,75306.0,77225.0,76083.0,75200.0,75035.0,75128.0,75990.0,75537.0,75381.0,75666.0,76169.0
"Javier,Leyte",26194.0,26197.0,26473.0,75577.0,77513.0,77093.0,77644.0,77697.0,78002.0,76692.0,77559.0,77052.0,77842.0,77169.0,79088.0,77946.0,77063.0,76898.0,76991.0,77853.0,77400.0,77244.0,77529.0,78032.0
"Jiabong,Samar",34534.0,34537.0,34813.0,63289.0,65225.0,64808.0,65356.0,65412.0,65714.0,64404.0,65271.0,64764.0,65554.0,64881.0,66800.0,65661.0,64775.0,64610.0,64703.0,65565.0,65115.0,64956.0,65241.0,65744.0
"Julita,Leyte",26920.0,26923.0,27199.0,74364.0,76300.0,75880.0,76431.0,76484.0,76789.0,75479.0,76346.0,75839.0,76629.0,75956.0,77875.0,76733.0,75850.0,75685.0,75778.0,76640.0,76187.0,76031.0,76316.0,76819.0
"Kananga,Leyte",19670.0,19673.0,19949.0,76825.0,78761.0,78341.0,78892.0,78945.0,79250.0,77940.0,78807.0,78300.0,79090.0,78417.0,80336.0,79194.0,78311.0,78146.0,78239.0,79101.0,78648.0,78492.0,78777.0,79280.0
"Kawayan,Biliran",26810.0,26813.0,27089.0,81478.0,83414.0,82994.0,83545.0,83598.0,83903.0,82593.0,83460.0,82953.0,83743.0,83070.0,84989.0,83847.0,82964.0,82799.0,82892.0,83754.0,83301.0,83145.0,83430.0,83933.0
"La Paz,Leyte",27533.0,27536.0,27812.0,75068.0,77004.0,76584.0,77135.0,77190.0,77493.0,76183.0,77050.0,76545.0,77333.0,76660.0,78581.0,77437.0,76554.0,76389.0,76482.0,77346.0,76891.0,76735.0,77022.0,77523.0
"Laoang,Northern Samar",51877.0,51880.0,52156.0,59265.0,61201.0,60781.0,61332.0,61385.0,61690.0,60380.0,61247.0,60740.0,61530.0,60857.0,62776.0,61634.0,60751.0,60586.0,60679.0,61541.0,61088.0,60932.0,61217.0,61720.0
"Lapinig,Northern Samar",44740.0,44743.0,45019.0,62822.0,64758.0,64338.0,64889.0,64942.0,65247.0,63937.0,64804.0,64297.0,65087.0,64414.0,66333.0,65191.0,64308.0,64143.0,64236.0,65098.0,64645.0,64489.0,64774.0,65277.0
"Las Navas,Northern Samar",53322.0,53325.0,53598.0,59548.0,61484.0,61064.0,61615.0,61668.0,61973.0,60663.0,61530.0,61023.0,61813.0,61140.0,63059.0,61917.0,61034.0,60869.0,60962.0,61824.0,61371.0,61215.0,61500.0,62003.0
"Lavezares,Northern Samar",48188.0,48191.0,48467.0,51258.0,53194.0,52774.0,53325.0,53378.0,53683.0,52373.0,53240.0,52733.0,53523.0,52850.0,54769.0,53627.0,52744.0,52579.0,52672.0,53534.0,53081.0,52925.0,53210.0,53713.0
