"","Cebu Doctors University Hospital,Cebu City,Cebu","Chong Hua Hospital,Cebu City,Cebu","Perpetual Succour Hospital,Cebu City,Cebu","Asian Hospital and Medical Center,Muntinlupa,Metro Manila","Cardinal Santos Medical Center,San Juan,Metro Manila","Centuria Medical Makati - Asian Breast Center,Makati,Metro Manila","Chinese General Hospital and Medical Center,Manila,Metro Manila","Jose R. Reyes Memorial Medical Center,Manila,Metro Manila","Lung Center of the Philippines,Quezon City,Metro Manila","Makati Medical Center,Makati,Metro Manila","Manila Doctors Hospital,Manila,Metro Manila","Manila Med,Manila,Metro Manila","Metropolitan Medical Center,Manila,Metro Manila","Philippine General Hospital,Manila,Metro Manila","Philippine Oncology Center Corporation - Marian,Quezon City,Metro Manila","Quirino Memorial Medical Center,Quezon City,Metro Manila","Rizal Medical Center,Pasig,Metro Manila","San Juan De Dios Hospital,Pasay,Metro Manila","St. Luke's Medical Center - Global City,Taguig,Metro Manila","St. Luke's Medical Center - Quezon City,Quezon City,Metro Manila","The Medical City,Pasig,Metro Manila","University of Perpetual Help Delta,Las Pinas,Metro Manila","University of Santo Tomas,Manila,Metro Manila","Urology Center of the Philippines Inc.,Quezon City,Metro Manila"
"Calbiga,Samar",268592.0,268877.0,269907.0,779151.0,802501.0,798097.0,804060.0,803498.0,811152.0,795904.0,803446.0,800097.0,803995.0,799771.0,821519.0,807216.0,798682.0,795933.0,797613.0,808789.0,800481.0,787322.0,802832.0,811807.0
"Calubian,Leyte",185858.0,186143.0,187173.0,928678.0,952028.0,947624.0,953587.0,953025.0,960679.0,945431.0,952973.0,949624.0,953522.0,949298.0,971046.0,956743.0,948209.0,945460.0,947140.0,958316.0,950008.0,936849.0,952359.0,961334.0
"Can-Avid,Eastern Samar",373875.0,374178.0,375208.0,841116.0,864466.0,860062.0,866025.0,865463.0,873117.0,857869.0,865411.0,862062.0,865960.0,861736.0,883484.0,869181.0,860647.0,857898.0,859578.0,870754.0,862446.0,849287.0,864797.0,873772.0
"Capoocan,Leyte",138835.0,139120.0,140150.0,906412.0,929762.0,925358.0,931321.0,930759.0,938413.0,923165.0,930707.0,927358.0,931256.0,927032.0,948780.0,934477.0,925943.0,923194.0,924874.0,936050.0,927742.0,914583.0,930093.0,939068.0
"Carigara,Leyte",161562.0,161847.0,162877.0,870286.0,893636.0,889232.0,895195.0,894633.0,902287.0,887039.0,894581.0,891232.0,895130.0,890906.0,912654.0,898351.0,889817.0,887068.0,888748.0,899924.0,891616.0,878457.0,893967.0,902942.0
"Catarman,Northern Samar",443785.0,444070.0,445100.0,633772.0,657122.0,652718.0,658681.0,658119.0,665773.0,650525.0,658067.0,654718.0,658616.0,654392.0,676140.0,661837.0,653303.0,650554.0,652234.0,663410.0,655102.0,641943.0,657453.0,666428.0
"Catubig,Northern Samar",516667.0,516952.0,517982.0,687368.0,710718.0,706314.0,712277.0,711715.0,719369.0,704121.0,711663.0,708314.0,712212.0,707988.0,729736.0,715433.0,706899.0,704150.0,705830.0,717006.0,708698.0,695539.0,711049.0,720024.0
"City of Baybay,Leyte",166990.0,167275.0,168305.0,924360.0,947690.0,943286.0,949269.0,948707.0,956361.0,941093.0,948655.0,945306.0,949184.0,944960.0,966728.0,952425.0,943891.0,941122.0,942822.0,953978.0,945670.0,932511.0,948021.0,956996.0
"City of Borongan,Eastern Samar",395829.0,396114.0,397144.0,860525.0,883875.0,879471.0,885434.0,884889.0,892526.0,877278.0,884837.0,881471.0,885386.0,881145.0,902893.0,888607.0,880056.0,877307.0,879004.0,890163.0,881855.0,868713.0,884206.0,893198.0
"City of Catbalogan,Samar",317911.0,318196.0,319226.0,713937.0,737287.0,732883.0,738846.0,738284.0,745938.0,730690.0,738232.0,734883.0,738781.0,734557.0,756305.0,742002.0,733468.0,730719.0,732399.0,743575.0,735267.0,722108.0,737618.0,746593.0
"City of Maasin,Southern Leyte",242404.0,242689.0,243719.0,1009725.0,1033075.0,1028671.0,1034634.0,1034072.0,1041726.0,1026478.0,1034020.0,1030671.0,1034569.0,1030345.0,1052093.0,1037790.0,1029256.0,1026507.0,1028187.0,1039363.0,1031055.0,1017896.0,1033406.0,1042381.0
"Culaba,Biliran",226269.0,226554.0,227584.0,969089.0,992419.0,988035.0,993978.0,993436.0,1001070.0,985842.0,993364.0,990015.0,993933.0,989709.0,1011437.0,997154.0,988600.0,985871.0,987551.0,998707.0,990399.0,977240.0,992750.0,1001745.0
"Dagami,Leyte",202281.0,202566.0,203596.0,860589.0,883939.0,879535.0,885498.0,884936.0,892590.0,877342.0,884884.0,881535.0,885433.0,881209.0,902957.0,888654.0,880120.0,877371.0,879051.0,890227.0,881919.0,868760.0,884270.0,893245.0
"Dolores,Eastern Samar",390807.0,391092.0,392122.0,858048.0,881398.0,876977.0,882940.0,882395.0,890049.0,874801.0,882343.0,878977.0,882892.0,878651.0,900416.0,886113.0,877562.0,874830.0,876493.0,887686.0,879361.0,866219.0,881729.0,890704.0
"Dulag,Leyte",232050.0,232335.0,233365.0,865429.0,888759.0,884375.0,890318.0,889756.0,897410.0,882162.0,889704.0,886355.0,890253.0,886049.0,907777.0,893474.0,884940.0,882191.0,883871.0,895047.0,886739.0,873600.0,889110.0,898085.0
"Gamay,Northern Samar",453610.0,453895.0,454925.0,741409.0,764759.0,760355.0,766318.0,765756.0,773410.0,758162.0,765704.0,762355.0,766253.0,762029.0,783777.0,769474.0,760940.0,758191.0,759871.0,771047.0,762739.0,749580.0,765090.0,774065.0
"Gandara,Samar",358542.0,358827.0,359857.0,695302.0,718652.0,714248.0,720211.0,719649.0,727303.0,712055.0,719597.0,716248.0,720146.0,715922.0,737670.0,723367.0,714833.0,712084.0,713764.0,724940.0,716632.0,703473.0,718983.0,727958.0
"General MacArthur,Eastern Samar",326337.0,326622.0,327652.0,929676.0,953026.0,948622.0,954585.0,954023.0,961677.0,946429.0,953971.0,950622.0,954520.0,950296.0,972044.0,957741.0,949207.0,946458.0,948138.0,959314.0,951006.0,937847.0,953357.0,962332.0
