"","Cebu Doctors University Hospital,Cebu City,Cebu","Chong Hua Hospital,Cebu City,Cebu","Perpetual Succour Hospital,Cebu City,Cebu","Asian Hospital and Medical Center,Muntinlupa,Metro Manila","Cardinal Santos Medical Center,San Juan,Metro Manila","Centuria Medical Makati - Asian Breast Center,Makati,Metro Manila","Chinese General Hospital and Medical Center,Manila,Metro Manila","Jose R. Reyes Memorial Medical Center,Manila,Metro Manila","Lung Center of the Philippines,Quezon City,Metro Manila","Makati Medical Center,Makati,Metro Manila","Manila Doctors Hospital,Manila,Metro Manila","Manila Med,Manila,Metro Manila","Metropolitan Medical Center,Manila,Metro Manila","Philippine General Hospital,Manila,Metro Manila","Philippine Oncology Center Corporation - Marian,Quezon City,Metro Manila","Quirino Memorial Medical Center,Quezon City,Metro Manila","Rizal Medical Center,Pasig,Metro Manila","San Juan De Dios Hospital,Pasay,Metro Manila","St. Luke's Medical Center - Global City,Taguig,Metro Manila","St. Luke's Medical Center - Quezon City,Quezon City,Metro Manila","The Medical City,Pasig,Metro Manila","University of Perpetual Help Delta,Las Pinas,Metro Manila","University of Santo Tomas,Manila,Metro Manila","Urology Center of the Philippines Inc.,Quezon City,Metro Manila"
"Dolores,Eastern Samar",22568.0,22467.0,22305.0,23043.0,23280.0,22860.0,23471.0,23282.0,23769.0,22459.0,23065.0,22736.0,23355.0,22778.0,24855.0,23756.0,23077.0,22134.0,22758.0,23620.0,23414.0,22592.0,23360.0,23799.0
"Dulag,Leyte",7831.0,7730.0,7568.0,8306.0,8543.0,8123.0,8734.0,8545.0,9032.0,7722.0,8328.0,7999.0,8618.0,8041.0,10118.0,9019.0,8340.0,7397.0,8021.0,8883.0,8677.0,7855.0,8623.0,9062.0
"Gamay,Northern Samar",26517.0,26416.0,26254.0,26992.0,27229.0,26809.0,27420.0,27231.0,27718.0,26408.0,27014.0,26685.0,27304.0,26727.0,28804.0,27705.0,27026.0,26083.0,26707.0,27569.0,27363.0,26541.0,27309.0,27748.0
"Gandara,Samar",20297.0,20196.0,20034.0,20772.0,21009.0,20589.0,21200.0,21011.0,21498.0,20188.0,20794.0,20465.0,21084.0,20507.0,22584.0,21485.0,20806.0,19863.0,20487.0,21349.0,21143.0,20321.0,21089.0,21528.0
"General MacArthur,Eastern Samar",14913.0,14812.0,14650.0,15388.0,15625.0,15205.0,15816.0,15627.0,16114.0,14804.0,15410.0,15081.0,15700.0,15123.0,17200.0,16101.0,15422.0,14479.0,15103.0,15965.0,15759.0,14937.0,15705.0,16144.0
"Giporlos,Eastern Samar",13415.0,13314.0,13152.0,13890.0,14127.0,13707.0,14318.0,14129.0,14616.0,13306.0,13912.0,13583.0,14202.0,13625.0,15702.0,14603.0,13924.0,12981.0,13605.0,14467.0,14261.0,13439.0,14207.0,14646.0
"Guiuan,Eastern Samar",16837.0,16736.0,16574.0,17312.0,17549.0,17129.0,17740.0,17551.0,18038.0,16728.0,17334.0,17005.0,17624.0,17047.0,19124.0,18025.0,17346.0,16403.0,17027.0,17889.0,17683.0,16861.0,17629.0,18068.0
"Hernani,Eastern Samar",15838.0,15737.0,15575.0,16313.0,16550.0,16130.0,16741.0,16552.0,17039.0,15729.0,16335.0,16006.0,16625.0,16048.0,18125.0,17026.0,16347.0,15404.0,16028.0,16890.0,16684.0,15862.0,16630.0,17069.0
"Hilongos,Leyte",15183.0,15082.0,14920.0,15658.0,15895.0,15475.0,16086.0,15897.0,16384.0,15074.0,15680.0,15351.0,15970.0,15393.0,17470.0,16371.0,15692.0,14749.0,15373.0,16235.0,16029.0,15207.0,15975.0,16414.0
"Hinabangan,Samar",16076.0,15975.0,15813.0,16551.0,16788.0,16368.0,16979.0,16790.0,17277.0,15967.0,16573.0,16244.0,16863.0,16286.0,18363.0,17264.0,16585.0,15642.0,16266.0,17128.0,16922.0,16100.0,16868.0,17307.0
