"","Cebu Doctors University Hospital,Cebu City,Cebu","Chong Hua Hospital,Cebu City,Cebu","Perpetual Succour Hospital,Cebu City,Cebu","Asian Hospital and Medical Center,Muntinlupa,Metro Manila","Cardinal Santos Medical Center,San Juan,Metro Manila","Centuria Medical Makati - Asian Breast Center,Makati,Metro Manila","Chinese General Hospital and Medical Center,Manila,Metro Manila","Jose R. Reyes Memorial Medical Center,Manila,Metro Manila","Lung Center of the Philippines,Quezon City,Metro Manila","Makati Medical Center,Makati,Metro Manila","Manila Doctors Hospital,Manila,Metro Manila","Manila Med,Manila,Metro Manila","Metropolitan Medical Center,Manila,Metro Manila","Philippine General Hospital,Manila,Metro Manila","Philippine Oncology Center Corporation - Marian,Quezon City,Metro Manila","Quirino Memorial Medical Center,Quezon City,Metro Manila","Rizal Medical Center,Pasig,Metro Manila","San Juan De Dios Hospital,Pasay,Metro Manila","St. Luke's Medical Center - Global City,Taguig,Metro Manila","St. Luke's Medical Center - Quezon City,Quezon City,Metro Manila","The Medical City,Pasig,Metro Manila","University of Perpetual Help Delta,Las Pinas,Metro Manila","University of Santo Tomas,Manila,Metro Manila","Urology Center of the Philippines Inc.,Quezon City,Metro Manila"
"Leyte,Leyte",256450.0,255989.0,255346.0,675607.0,672732.0,668328.0,670083.0,668462.0,681383.0,666135.0,667349.0,664921.0,668595.0,664396.0,691750.0,675808.0,670902.0,660773.0,667844.0,679020.0,672701.0,667794.0,669248.0,682038.0
"Libagon,Southern Leyte",321292.0,320831.0,320188.0,740449.0,737574.0,733170.0,734925.0,733304.0,746225.0,730977.0,732191.0,729763.0,733437.0,729238.0,756592.0,740650.0,735744.0,725615.0,732686.0,743862.0,737543.0,732636.0,734090.0,746880.0
"Liloan,Southern Leyte",325317.0,324856.0,324213.0,744474.0,741599.0,737195.0,738950.0,737329.0,750250.0,735002.0,736216.0,733788.0,737462.0,733263.0,760617.0,744675.0,739769.0,729640.0,736711.0,747887.0,741568.0,736661.0,738115.0,750905.0
"Llorente,Eastern Samar",330279.0,329818.0,329175.0,749436.0,746561.0,742157.0,743912.0,742291.0,755212.0,739964.0,741178.0,738750.0,742424.0,738225.0,765579.0,749637.0,744731.0,734602.0,741673.0,752849.0,746530.0,741623.0,743077.0,755867.0
"Lope de Vega,Northern Samar",393788.0,393327.0,392684.0,812945.0,810070.0,805666.0,807421.0,805800.0,818721.0,803473.0,804687.0,802259.0,805933.0,801734.0,829088.0,813146.0,808240.0,798111.0,805182.0,816358.0,810039.0,805132.0,806586.0,819376.0
"Macarthur,Leyte",222683.0,222222.0,221579.0,641840.0,638965.0,634561.0,636316.0,634695.0,647616.0,632368.0,633582.0,631154.0,634828.0,630629.0,657983.0,642041.0,637135.0,627006.0,634077.0,645253.0,638934.0,634027.0,635481.0,648271.0
"Macrohon,Southern Leyte",341583.0,341122.0,340479.0,760740.0,757865.0,753461.0,755216.0,753595.0,766516.0,751268.0,752482.0,750054.0,753728.0,749529.0,776883.0,760941.0,756035.0,745906.0,752977.0,764153.0,757834.0,752927.0,754381.0,767171.0
"Mahaplag,Leyte",251682.0,251221.0,250578.0,670839.0,667964.0,663560.0,665315.0,663694.0,676615.0,661367.0,662581.0,660153.0,663827.0,659628.0,686982.0,671040.0,666134.0,656005.0,663076.0,674252.0,667933.0,663026.0,664480.0,677270.0
"Malitbog,Southern Leyte",316211.0,315750.0,315107.0,735368.0,732493.0,728089.0,729844.0,728223.0,741144.0,725896.0,727110.0,724682.0,728356.0,724157.0,751511.0,735569.0,730663.0,720534.0,727605.0,738781.0,732462.0,727555.0,729009.0,741799.0
"Mapanas,Northern Samar",442116.0,441637.0,440994.0,861273.0,858380.0,853994.0,855731.0,854128.0,867031.0,851801.0,852997.0,850587.0,854243.0,850044.0,877398.0,861456.0,856568.0,846439.0,853510.0,864686.0,858349.0,853460.0,854896.0,867704.0
"Marabut,Samar",218444.0,217983.0,217340.0,637601.0,634726.0,630322.0,632077.0,630456.0,643377.0,628129.0,629343.0,626915.0,630589.0,626390.0,653744.0,637802.0,632896.0,622767.0,629838.0,641014.0,634695.0,629788.0,631242.0,644032.0
"Maslog,Eastern Samar",372960.0,372499.0,371856.0,792117.0,789242.0,784838.0,786593.0,784972.0,797893.0,782645.0,783859.0,781431.0,785105.0,780906.0,808260.0,792318.0,787412.0,777283.0,784354.0,795530.0,789211.0,784304.0,785758.0,798548.0
"Matag-ob,Leyte",269435.0,268974.0,268331.0,688592.0,685717.0,681313.0,683068.0,681447.0,694368.0,679120.0,680334.0,677906.0,681580.0,677381.0,704735.0,688793.0,683887.0,673758.0,680829.0,692005.0,685686.0,680779.0,682233.0,695023.0
"Matalom,Leyte",325268.0,324807.0,324164.0,744425.0,741550.0,737146.0,738901.0,737280.0,750201.0,734953.0,736167.0,733739.0,737413.0,733214.0,760568.0,744626.0,739720.0,729591.0,736662.0,747838.0,741519.0,736612.0,738066.0,750856.0
"Mayorga,Leyte",212281.0,211820.0,211177.0,631438.0,628563.0,624159.0,625914.0,624293.0,637214.0,621966.0,623180.0,620752.0,624426.0,620227.0,647581.0,631639.0,626733.0,616604.0,623675.0,634851.0,628532.0,623625.0,625079.0,637869.0
"Mercedes,Eastern Samar",317888.0,317427.0,316784.0,737045.0,734170.0,729766.0,731521.0,729900.0,742821.0,727573.0,728787.0,726359.0,730033.0,725834.0,753188.0,737246.0,732340.0,722211.0,729282.0,740458.0,734139.0,729232.0,730686.0,743476.0
"Merida,Leyta",289704.0,289243.0,288600.0,708861.0,705986.0,701582.0,703337.0,701716.0,714637.0,699389.0,700603.0,698175.0,701849.0,697650.0,725004.0,709062.0,704156.0,694027.0,701098.0,712274.0,705955.0,701048.0,702502.0,715292.0
"Mondragon,Northern Samar",256450.0,255989.0,255346.0,675607.0,672732.0,668328.0,670083.0,668462.0,681383.0,666135.0,667349.0,664921.0,668595.0,664396.0,691750.0,675808.0,670902.0,660773.0,667844.0,679020.0,672701.0,667794.0,669248.0,682038.0
"Naval,Biliran",288186.0,287725.0,287082.0,707343.0,704468.0,700064.0,701819.0,700198.0,713119.0,697871.0,699085.0,696657.0,700331.0,696132.0,723486.0,707544.0,702638.0,692509.0,699580.0,710756.0,704437.0,699530.0,700984.0,713774.0
"Oras,Eastern Samar",355335.0,354874.0,354231.0,774492.0,771617.0,767213.0,768968.0,767347.0,780268.0,765020.0,766234.0,763806.0,767480.0,763281.0,790635.0,774693.0,769787.0,759658.0,766729.0,777905.0,771586.0,766679.0,768133.0,780923.0
"Ormoc City,Leyte",273723.0,273262.0,272619.0,692880.0,690005.0,685601.0,687356.0,685735.0,698656.0,683408.0,684622.0,682194.0,685868.0,681669.0,709023.0,693081.0,688175.0,678046.0,685117.0,696293.0,689974.0,685067.0,686521.0,699311.0
"Padre Burgos,Southern Leyte",325233.0,324772.0,324129.0,744390.0,741515.0,737111.0,738866.0,737245.0,750166.0,734918.0,736132.0,733704.0,737378.0,733179.0,760533.0,744591.0,739685.0,729556.0,736627.0,747803.0,741484.0,736577.0,738031.0,750821.0
